username,country,score,date_written,positive,negative,tags,hotel
Ana,España,8.0,Escrito en 20 de julio de 2025,Nuevo y céntrico.,El colchón del sofá cama de la 509 tienen que cambiarlo porque se hunde y se notan los muelles. No se puede descansar.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Raul,España,10.0,Escrito en 20 de julio de 2025,El apartamento muy nuevo y limpio,Las almohadas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Maradelxcis,España,10.0,Escrito en 19 de julio de 2025,"La ubicación y las instalaciones eran inmejorables. Cuando vuelva a Vitoria repetiré. Las camas comodisimas, el baño espectacular 👌",,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Jagoba,España,9.0,Escrito en 19 de julio de 2025,Todo perfecto,,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Koldo,España,9.0,Escrito en 24 de mayo de 2025,Si,Todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Orenes,España,10.0,Escrito en 24 de mayo de 2025,Apartamento,La gestión de la entrada,"['•Viaje de ocio', '•Pareja', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Enol,España,8.0,Escrito en 23 de mayo de 2025,Las habitaciones,La ubicación,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Maite,España,8.0,Escrito en 23 de mayo de 2025,La limpieza y la ubicación. Decorado con gusto.,"Muy pocos detalles en el apartamento, menaje escueto, no dejan ni un rollo de servilletas por si lo puedes necesitar.","['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
Jose,España,9.0,Escrito en 22 de mayo de 2025,"El apartamento, la ubicación y la app del apartamento",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 2 noches', '•Enviado por móvil']",Vitoria
Paya,España,9.0,Escrito en 21 de mayo de 2025,Estaba muy limpio  es cómodo y muy centrico,No había fregona ni escoba y recogedor y falta de mantenimiento,"['•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 5 noches', '•Enviado por móvil']",Vitoria
Silvia,España,7.0,Escrito en 21 de mayo de 2025,"Lo mejor fue la ubicación, facilidad en contactar con el alojamiento y la atención del personal. La amplitud de las habitaciones y luminosidad un plus.",EL sofa-cama del apartamento resultó muy incómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']",Vitoria
Dolores,España,9.0,Escrito en 21 de mayo de 2025,"El alojamiento en si y la ubicación ...la limpieza,todo muy nuevo",Todo bien,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']",Vitoria
